GENE_SYMBOL,ES740463,ES740496,ES740562,ES740637,ES740640,ES740691,ES740706,ES740712,ES740724,ES740772,ES740790,ES740871
OSBPL1A,1431,263,1863,1256,739,1420,595,1470,1785,1167,636,1862
GUCY2C,178,80,191,179,97,184,67,219,166,164,35,235
ARMC10,1688,1302,1640,1290,1016,1615,1602,1474,2160,1430,1014,2115
ARSI,0,0,0,1,8,0,0,0,0,0,2,0
GDPD2,1,0,1,0,4,2,4,4,1,4,1,2
RPH3A,1029,791,3203,454,2322,2242,274,2575,5453,2875,373,3130
SNORD33,34,21,66,126,105,19,69,25,21,60,272,31
PTN,0,0,0,0,1,0,0,0,0,0,0,0
STAM2,3576,2292,2927,2692,1981,2313,2597,2707,4026,2557,2142,4337
FZD6,310,262,296,238,163,634,404,242,624,222,146,725
DNM1P35,29,7,63,26,44,15,19,45,15,32,67,33
NTRK3,3,0,3,1,3,0,1,1,1,10,1,1
LOC400620,4,6,3,5,0,0,4,1,0,1,0,1
MIR4637,1,0,2,1,2,1,3,0,1,0,1,0
ZNF34,723,548,847,901,673,1044,688,521,1211,537,662,1089
NCRNA00229,1,0,0,7,1,0,3,1,0,5,4,0
AES,69299,114468,73874,79267,95353,126581,122131,73938,105391,82357,103423,105068
C9orf152,3,1,2,7,3,1,4,2,3,3,2,0
PCGEM1,0,0,0,1,0,0,0,0,0,0,0,0
ZNF33B,2207,2493,2155,1944,2153,2135,2701,1516,3118,2434,3307,2996
TMEM229B,4674,4641,3720,3164,2628,4633,5380,2111,5279,2849,2253,5930
FEV,3,0,0,0,0,0,0,0,0,0,0,0
OR6F1,0,0,0,0,0,0,0,0,0,0,0,0
LSM7,3335,3974,3123,2671,2785,4220,3561,2773,4824,3099,3142,5338
CD302,331,80,460,277,232,298,104,386,347,282,74,473
LIG1,2562,2717,2795,2312,3074,3131,2615,1783,3737,2386,4884,3434
MIR2467,0,0,1,1,1,0,0,0,0,1,0,0
GNRH2,8,4,13,6,9,3,4,4,3,7,11,7
CDC37L1,1092,1142,1419,879,2613,966,1532,1176,1396,1181,2360,1307
RNF185,2420,1766,2275,1829,2158,1951,2247,2170,2561,2203,1724,2902
SNORD115-44,0,0,0,0,0,0,0,0,0,0,0,0
POC1A,234,225,249,178,182,273,175,179,340,145,127,260
ZBTB39,1889,1881,1993,2478,3381,3223,2083,1812,2701,1763,2619,2190
CXorf21,3483,616,4046,1980,3373,823,895,4852,2016,4793,959,2514
SLC7A14,0,0,0,0,0,0,0,0,0,0,0,0
KIF1C,7289,4959,8318,6508,6999,7944,6394,6997,9252,7816,4680,8671
LOC388906,13,36,23,44,48,42,43,15,29,28,72,51
DKC1,4051,4575,4182,2847,4771,3190,3761,3557,5193,3650,4607,5561
KLRC1,476,853,632,524,319,773,878,343,571,248,107,1078
ORC2,1915,1504,1928,1637,1645,1254,1969,1345,2167,1495,2549,2329
SLC39A1,8313,5468,7839,4855,4753,7228,5087,6749,7916,6582,2714,10112
RPS9,72992,71938,65487,55326,55052,97488,96735,64964,76356,86124,80208,121914
ADAMTS3,0,0,3,1,3,0,4,7,3,4,5,0
SIGLEC8,0,2,2,1,0,2,0,2,2,0,0,0
ZNF385D,30,52,24,7,38,40,40,40,22,18,10,22
TBCD,8555,7553,8237,9705,9330,10812,10064,7104,11029,10147,7978,12395
MIRLET7A1,6,0,6,16,6,3,6,1,3,6,9,3
GAA,23515,8051,23362,20526,16834,23077,11607,30390,27466,18403,7313,26629
C21orf59,2965,2989,2828,2334,2191,2731,3276,2601,3900,2655,2065,4041
LOC149134,3,3,3,6,5,1,4,3,2,7,7,2
BLNK,1443,740,1607,722,981,672,898,1389,2048,1154,1754,1330
MIR4678,0,0,0,0,0,0,0,0,0,0,0,0
HIPK3,22430,13533,27567,21285,18878,18589,16387,22623,21437,23891,12620,25692
MIR1283-2,0,0,0,0,0,0,0,0,0,0,0,0
PPFIA2,0,0,0,0,0,0,0,0,0,0,0,0
UBL4B,0,0,0,0,2,0,0,0,0,0,0,1
SMPDL3B,18,33,49,17,25,29,24,55,51,78,23,35
CTSL2,23,4,65,26,42,22,17,45,40,41,16,21
BAZ2B,5775,2889,9978,7544,9617,3443,4148,7128,4215,6685,5160,5823
LOC100129827,22,6,13,13,19,28,27,17,40,4,10,17
GSTTP1,0,0,0,0,0,0,0,0,0,0,0,0
CASP7,4014,2562,3393,2092,2857,3050,3596,2753,3515,2335,2041,4509
LOXL2,180,398,325,263,261,273,389,197,288,265,498,354
CDK8,1410,763,1599,1332,1523,997,1465,1253,1340,1188,1461,1313
KIAA1543,45,21,91,47,57,39,65,24,46,49,106,51
SLC6A17,4,0,2,1,1,0,2,1,1,2,1,1
TRUB1,1672,1745,1344,1132,1367,1689,1990,1195,2218,1251,1496,2365
GYG2,4,1,1,0,2,6,1,1,4,0,3,1
ANTXRL,1,5,2,10,4,0,3,4,2,4,2,8
FAM171A2,39,42,30,24,31,58,32,28,54,24,37,49
CLRN3,1,1,2,0,1,3,0,8,1,1,1,2
MIR4799,0,0,0,0,0,0,0,0,0,0,0,0
MAP3K5,7618,5419,8966,8473,12084,5091,9429,9333,7687,8923,8529,8853
