	Alveolar-Type1	Alveolar-Type2	CD4+T	CD8-CytT	Ciliated	Fibroblast	Mast	Monocyte	NK
HTRA3	1.5214428754739855	2.6462951669905643	5.1910870956705955	5.514065119476251	1.6382244721720531	11.441130022730688	4.6752066646341275	5.147254998567772	5.897256401639479
ICAM1	8.95696551609303	10.283889833440922	9.219355865002578	9.034038576091687	4.751215502277857	10.484966149888	10.21772728433793	12.501128846767253	10.90215349227008
ICAM2	2.6694189165672513	6.575814977554216	10.551771504294255	10.59704719654106	2.975755815962424	7.674385156115036	7.583991285207346	9.0860733131267	12.314329886592292
ICAM3	3.889313299081709	8.213989740699141	11.87161397478395	11.663463329737759	4.4431032779130755	8.306356716606121	8.778650150152764	9.953644141187358	12.62757697317236
ICOS	0.0	4.254636367916418	11.644840177910421	10.373464317762613	0.0	4.1604161892320946	5.984866493437372	5.931452595064707	9.064239687011376
ID1	9.11921713039716	12.936392807235116	9.516080880190595	9.23885980916869	7.134770369662214	10.892456070198904	8.39588226814284	8.495081718963206	10.354708238084463
ID2	6.866669528115299	10.541295867790337	14.34863521689454	14.315324155727119	6.855052463142335	12.821753357660617	12.958858005246254	12.68495188498836	15.743751515428201
ID3	7.240247345508961	10.431612618300457	9.807336566222677	9.330211935946453	6.065760261559563	12.890406791225367	7.859984576216098	10.149282486730163	9.954032107221995
IDI1	6.202372563181448	11.076760626650872	11.52865335887955	11.277107197312189	7.101686210245109	9.758115025201421	9.465127815993213	10.36350752652396	12.426739764569021
IDS	7.507269467043209	8.455171844779786	11.545411849938336	11.07897635091549	7.158082294995853	9.223946426122803	10.967580043258845	9.833351223192405	11.435764215344776
IER2	7.361817302158567	11.491351973341477	12.783615152538097	12.739659325486969	8.115906303358713	13.155774368479875	11.79591963620272	12.41168866583196	14.244657428771774
IER3	6.338154107000355	8.942607749688287	10.234952475419592	10.337353071866668	6.233283072559024	12.043358860225153	11.590013881136107	14.771789655843062	12.267286918028423
