,liver-apap_1,liver-apap_2,liver-apap_3,liver-apap_4,liver-apap_5,liver-ctrl_1,liver-ctrl_2,liver-ctrl_3,liver-ctrl_4,liver-ctrl_5,liver-mda_1,liver-mda_2,liver-mda_3,liver-mda_4,liver-mda_5
Aqp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aqp3,1.72036298051182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aqp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aqp5,14.7705620734044,22.1049812931733,3.42559557354731,18.990592270366303,27.3479099687418,9.01618255932162,16.4371965243437,20.5114239523842,14.292233261096198,20.3673894151228,2.26863245935534,2.39478630181203,7.1017451574702095,7.71064173520591,2.34015440338993
Aqp6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aqp7,14.3017164020624,1.2727846496783402,0.0,2.54291066946798,10.4169017549502,5.84482897220286,5.1140892167661605,0.0,0.0,0.0,28.8173673086988,42.7998183069961,9.4944592055729,33.032021946857704,33.4496343451422
Aqp8,2528.48781679462,2846.95824044487,2476.6925079892603,3840.5303598698497,3059.88443207825,4290.559986884679,2666.48404370629,3550.8250057630894,2824.37922805457,2906.1092418054,3943.341340494,3581.2512044503205,4282.958187332621,4056.53346724581,4202.02015782029
Aqp9,1626.0440719653698,1319.43710767672,1153.44416965141,1457.47627964844,1614.58686169809,1545.033439714,1259.72848739393,1639.93534257576,1509.47302497009,1714.30467564456,234.41278488233,311.018991370754,439.72156875395,404.83848867812,512.930499625536
Aqr,99.70620204836771,103.299504843512,98.12214751415728,102.980303862989,102.18474349877,51.1688531987204,57.08526059497171,56.3410860295121,56.3744098126624,58.3541848773296,77.81159973950041,85.6499886356977,101.247446541879,57.4121696147572,89.18874991706458
Ar,1.96675447095292,0.964089197058713,2.9486691997321097,2.24659834048896,1.6405302325036202,2.94556259601719,3.91079877731998,1.27416086748081,2.60286655039423,5.3377686816353,0.987248708151082,2.09298609737453,5.10851080237031,0.0,0.0
Araf,566.7139944997821,461.34703780995005,555.00325237631,489.097866482524,516.7001059664769,592.780087730236,521.5486284227901,536.814218704273,469.602993191536,523.410085921791,480.928750886773,551.129199305272,637.569837405302,498.454609288771,603.434567853564
Arap1,319.354339375341,262.627329055169,356.314842171446,252.812853958426,303.407954237878,284.114936330409,411.042038757398,352.890963960636,295.15129515475496,424.045833432642,392.853965124226,497.391151105089,445.731520023609,300.049371217765,437.884388759145
Arap2,8.839391192358455,4.192815046118715,11.73708037138758,1.898491268626395,4.102133924722395,0.0,0.3916900996097279,4.403505980931755,6.753253502599949,0.928480658602615,0.97335414166708,1.190206860460075,8.061861094321952,1.83615789121442,1.4075457787606
Arap3,16.23860048725655,17.433021062039348,15.6212460053417,9.98919561398975,12.884576502271347,9.25269721560565,14.6787404800194,11.32934104098795,11.420591145137651,17.7781312704213,17.84361594792775,21.57493551629575,21.66980123393985,16.6612890900631,19.4972148888756
Arc,1.207115710314895,1.4022058391161498,8.734419616576455,1.672177898627845,0.2423334564617974,0.64865355978686,0.0,0.4650508360924464,0.0,0.0,0.0,0.2569728684587815,0.505423994411835,0.467931560917616,0.75260980566272
Arcn1,1070.16570762352,826.427053527137,1366.15486983071,1079.1936102799,1097.37159787714,428.3522348689421,525.421618607479,688.016728753747,727.506192634052,797.4425233235651,920.27179877472,945.765706818706,1138.77363697721,585.928762065428,1023.34168066643
Areg,0.0,1.24437986900807,1.2666438622128502,3.67973578566726,0.0,0.0,0.0,0.0,0.0,0.0,3.88695793025986,12.083705394837,6.597008309908871,5.0419739585701695,6.529837696227631
Arel1,77.0733191098247,62.18241137644655,68.29168812337734,75.87819304887276,73.40854715779454,40.07570616456405,49.8578325178071,44.32511350583325,46.95410948856255,59.54048074177544,68.59437895653974,65.5174639827912,82.81098732706096,48.1444172182642,73.519933360512
Arf1,5443.07199148369,4472.40570177082,5110.5597382074,4470.21127279573,4535.717759020061,2520.32899056929,2515.75655576959,2846.13828275586,2856.3661046823,3179.52564977562,3638.739846475321,4093.64023969325,4578.08602800942,3689.17584317934,4456.39477454123
Arf2,56.7297353365781,75.1018086005288,92.3713218471576,45.9561960862302,50.0668608792103,29.5518200506484,25.167290732961696,43.1029379500268,40.2105315183888,55.1580961021214,68.7294943586225,63.794175937565,76.41936033929609,42.8723282767716,72.6234546465743
Arf3,303.1802309442155,229.1716332288384,269.10286154607195,255.34359018220275,227.11370005442583,157.20885028783303,148.66602317836237,181.3880704987369,160.20533227610213,202.0001743725972,304.527438225276,308.58887347401145,400.41159468995,303.816156283981,340.3302135355695
Arf4,2540.78417755301,2049.37155316309,2556.44141841269,1880.67427103405,1843.7090917599,1090.40152207565,1018.77926495351,1361.3582913652,1348.84437674052,1484.09577663054,1948.99733576803,1964.01946537988,2269.60914739347,1636.28356845961,2009.25898412678
Arf5,2074.7244713867603,1723.5074996794,1845.3551902064105,1790.28915076235,2110.27377973882,2080.0719741542302,2073.61957080163,1896.78304796401,1730.17868563926,1908.12038114948,2241.35752853975,2536.2198160471803,2704.89831661712,2017.4446312073,2802.5826864367605
Arf6,879.366116326725,810.877756693394,1282.0845734099198,751.16034446957,772.028876332274,438.36848830987,344.189034153956,428.980320030865,459.025263005862,538.477331113936,732.409113773759,864.328252058971,1026.48538970035,643.0315445045981,947.26317952895
Arfgap1,0.0,4.87851844907221,3.810658848471741,2.4766597982622,3.2548882255992995,0.0,0.0,0.0,0.0,0.0,2.68623429239741,3.026460032295549,0.0,0.0,7.18055804153141
Arfgap2,1248.3329475733,933.354803406001,998.026132638813,881.412687050224,797.390454648741,769.2063900702631,689.650747894898,650.761266298739,695.9969313216001,815.9928622530999,657.476633317742,688.277764891284,890.612984421409,734.487920910488,876.901989196389
Arfgap3,295.665224160723,172.523997029236,255.3129606357975,120.450896070041,146.9255988804775,94.27211579110204,95.9272828482155,115.8041516455735,110.5592512011987,92.1702569728138,155.058196266347,149.020503358467,204.079426235121,119.4074174422315,178.3154678613875
Arfgef1,108.292026586972,108.973893884888,173.185049864567,97.92992794391373,120.348989894564,39.891596778189296,60.172941356635896,57.9745641514238,76.47125512028771,87.9402063740518,125.767533525877,141.538621231138,168.898964241187,54.6415370582841,135.46410645849198
Arfgef2,189.390099803758,160.92017579911,174.36749462168498,185.028899947913,192.64831458533905,82.72490438694241,104.520428378896,91.78703803398692,85.18443718454141,106.135446705271,133.352133641747,171.867430279413,218.757556365571,123.321899576774,165.147784689711
Arfgef3,16.2727156755131,8.59461939736905,16.0682734854264,3.44670868764018,3.35646816991044,5.17063245482392,11.9278455763372,17.694354593613397,3.6874960173401,5.62995056083014,4.10811766607378,16.1337139341206,7.533342094265049,4.52063020872496,5.922108266582401
Arfip1,98.6899818594743,73.6174404336272,117.0137873949715,80.65022557364395,87.9730026957051,22.69362660373255,36.24909303358029,24.0052873609826,44.01587392330481,34.28474893604695,58.1515105121329,52.4559192071749,84.78948238221776,31.1017527333167,63.95186583491709
Arfip2,430.550908248733,308.457079784436,293.70279658728,49.2327908338482,83.6061617241156,40.185606537303,157.35295624678002,45.831495508519794,36.3353895030749,140.272416576607,155.792313774433,172.06136414428602,224.246416692626,100.762419831407,112.393008228761
Arfrp1,331.954890880915,266.03786023438,385.378640115956,194.042564068218,180.77510576900903,59.1979958491705,114.238201296829,146.242360960529,116.189886221271,178.228529624481,264.233535349907,316.905031134672,303.252156548368,200.96504217419,265.10273872242
Arg1,9617.43605575916,10686.3091484113,17475.8066188321,11752.7636019191,14753.8428932154,5267.68829028048,7756.843755235559,7151.77795564677,5819.92743311484,5388.204161846939,14101.9908368653,14734.9135961784,19050.5808668397,8662.33959684648,17639.5433304403
Arg2,0.979451999075785,4.81887788143293,2.93280543141853,0.0,1.95109239947378,0.0,0.977162342590586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arglu1,117.207504658194,135.5841165010855,174.13726032781202,81.76159105128,100.2735821358355,37.605730303307205,82.540619042361,36.33485315267155,71.957373932192,98.9264002208235,115.084797152601,119.095290298325,152.5888397264105,63.864603932379,120.231614451829
Arhgap1,162.34088575737945,139.013749079673,136.97742549616777,83.43530101498364,69.15602177962755,53.8018037592869,57.40653402566685,58.057122046225,51.527173443987394,75.28048821576719,89.1455050621015,122.36165725891344,125.31295778418944,94.4274294149874,93.91913698690186
Arhgap10,12.078332266462,17.3044365454668,13.5543903410377,7.21271068039618,6.98802183842728,9.76837732712982,4.20504734736475,6.421697995176481,2.81132407094526,8.5498383745792,9.889410651348038,7.94379024353031,16.4005461688337,12.7979140895847,14.8138150932601
