,ANIT_1,ANIT_2,ANIT_3,ANIT_4,APAP_1,APAP_11,APAP_2,APAP_4,APAP_6,APAP_8,CCl4_1,CCl4_10,CCl4_11,CCl4_12,CCl4_5,CCl4_6,CCl4_8,ConA_11,ConA_12,ConA_2,ConA_3,ConA_4,ConA_5,ConA_8,Ctrl_1,Ctrl_10,Ctrl_12,Ctrl_15,Ctrl_16,Ctrl_17,Ctrl_18,Ctrl_2,Ctrl_3,Ctrl_4,Ctrl_7,Ctrl_8,Ctrl_9,GAL_2,GAL_4,GAL_7,GAL_8,MDA_1,MDA_12,MDA_2,MDA_3,MDA_4,MDA_7,MDA_8,TAA_1,TAA_3,TAA_6,TAA_7,TAA_8
ACAA1A,2112.537427567314,4368.779593602572,3788.18541177608,5331.986080661689,2207.1746419174474,932.4761847298064,2079.178641988301,2485.981976783401,2761.632177352275,1174.6666030758984,1528.633209942724,1229.4851881016043,1673.2126283758566,1392.322223791115,1616.9846799143766,1894.3470827287135,1559.132180463991,7240.334354542274,3481.029808475267,5288.308542963219,5023.728003614988,3788.18541177608,4142.885927191141,3925.525082920832,2629.127920476214,2999.778212596835,3428.0476794279925,3937.5774708672648,3937.5774708672648,1991.227705493823,3908.7522119021687,2539.0792980100723,3490.35646909331,2840.8866012319536,2424.0031118536926,2874.02065381573,2591.9491026480146,2196.1372471793497,2129.5756562267543,1959.5586271920029,1700.02207847,3806.800586107293,2802.5677642849982,2289.589303486563,1727.1081727478108,2264.5306247576527,2095.761553187282,1933.6006752372923,4522.80742470271,3465.8889726439324,3222.359125481019,2865.8114507465366,2503.294880432642
ACAA1B,4099.143944003996,8741.534904993694,6895.69224127021,8646.082568516442,5736.439932011761,1725.822451814853,8187.616174242959,9607.604690520258,13880.516180071854,5245.913331798032,3911.495909829629,2264.5306247576527,2340.9707116025647,2999.778212596835,3307.8214624890866,4046.7106612766233,3717.177354042408,27808.88008959852,15107.783981376624,18920.026097829326,19493.83563075594,15846.272668917904,18431.87755583843,17419.078309107124,15035.320977437212,13539.448698628385,15424.469326667804,7709.413331431232,9765.72497578148,9317.02131227216,12572.795058752508,17084.038717716387,22460.4740848014,23814.297417077712,11411.003061394527,13880.516180071854,13880.516180071854,15112.15036637304,18376.74082943829,17513.330504283884,14710.843922814958,7187.682205848199,8158.953066740052,4724.22710995424,4767.8696778407375,5038.570218084937,6357.115350920054,6127.114838953749,21357.1360054251,18376.74082943829,16198.035438784813,15579.775836312623,12875.176175204837
ACAA2,7950.887372839595,13880.516180071854,11672.776017514552,11820.241425188126,8594.46760506235,9095.486574860912,12353.477439376427,14001.667432480072,14389.875104543877,8250.820060028922,7845.197094048099,7818.208502694639,7992.381534699027,7567.817812059688,7168.0334688484645,8383.380368982036,7867.459912739201,8187.616174242959,5310.816916838949,7187.682205848199,7845.197094048099,7806.196799870604,7168.0334688484645,7966.772213922486,16154.1427667355,14389.875104543877,15579.775836312623,16154.1427667355,16976.135820792355,15313.07874857175,15273.246748908668,15107.783981376624,16632.794350845084,16632.794350845084,14745.48791746801,15273.246748908668,14979.41225170234,9183.095290790094,8784.291841596778,7610.472862709106,7922.284397420975,12098.131091869052,9343.379946649304,9034.783607990164,8123.129558311572,7610.472862709106,7728.507787288669,9591.157772127248,13747.720811291389,13231.479096256102,11411.003061394527,10546.190935896951,11783.44502763193
ACAT1,1307.9711150623891,2553.9550941608686,2376.7134245961474,2505.0126888582745,1129.6748050370345,3950.2539636609104,4767.8696778407375,4571.291343986183,3913.752469963104,1216.7957033728,1207.133374091853,1506.311119714395,1436.82638143374,1673.2126283758566,1335.8749459372286,1048.3036589723688,1497.662136380765,164.2308749653788,127.75871159619544,1569.8895381161474,1305.3830997126386,1778.959788486689,1907.894769759232,1509.8743088401395,1673.2126283758566,3458.84709935432,3215.260560321991,2132.550862553928,3054.165209844864,5003.1371120752765,3141.8806273829928,2704.209196629576,2314.309600143466,2587.0576572220825,3909.205868555008,2629.127920476214,3222.359125481019,1344.9239802071966,1470.3703042293046,992.651550183984,1152.641931490408,3024.412612726512,2503.332777829598,1234.946439782177,2284.88472619146,1858.1124487854015,1083.6236467158851,1953.180922721012,1324.314225491623,1156.8579028666225,1675.648949964365,1841.011445282413,1158.812997979293
ACLY,2196.1372471793497,719.8311789172179,1053.1259176411838,662.0473360125741,636.0842186978762,1902.0435928989125,1532.8412287800516,936.148193988774,1050.1522623599135,1876.393807109992,1647.7277027548355,1050.8564033426803,1064.984097531622,1383.6175874587557,1657.1360148902197,1910.7622481342232,2368.1655680116573,608.1901701303694,678.230459216517,546.2363571833208,392.3459544229425,267.12012971499155,368.5049675492231,418.8579293657169,4448.957131688591,1644.332137498849,1380.6464890883567,3119.826811765117,4129.834978333986,3490.35646909331,2728.022738625933,2827.9070195890517,2970.02224544893,2351.9338209477523,2473.1792266859466,1671.3735610886035,1749.346232387269,1060.7511013423073,844.0290752568299,664.5782232552707,909.9122581747474,700.6895765477235,1283.5394951360956,1716.293378369202,2279.4122915435114,2520.205135890038,1935.501161443991,917.4427360621036,658.0624891252007,898.278382035688,735.7772765405049,757.5802511925909,689.021256842427
ACOT1,3.3494427085929988,800.7172366414513,644.4495270985126,1000.044431878002,533.1216445994063,146.59708703342173,250.21602003081247,265.9989154047887,565.9332228586686,231.45322098192997,427.2355103081396,294.3028096866584,316.2119285185236,212.60923944072687,403.39012050289006,370.2929455023788,570.6467847836601,4393.328088111355,1690.4833806685835,3775.675975925723,3341.5579140196423,4461.338485307678,4172.4542178388965,5324.7941508092335,829.2577526896694,408.7785019905772,398.89018550789086,309.7564452400263,369.2358355819521,414.299775954109,365.88463409798777,570.5383069702245,515.1508925611158,897.0766442560619,318.9417756584072,450.6103059727876,553.3527681841224,1173.7370621528662,1821.805338018151,1580.0984691104663,2520.205135890038,809.9060480362164,372.2845976752208,64.04369017153837,112.5485386317683,93.46808268927887,133.34603662383114,293.26472421189453,3364.491548574462,3752.53648405087,3505.291801880934,2246.4671907244074,2676.818752549962
ACOX1,6163.382447492448,16632.794350845084,14041.95722291224,20044.87059193184,7032.156619176145,9061.292852149794,9765.72497578148,14508.71143368437,11820.241425188126,9356.817332295264,5892.709098764809,4686.261098055864,3520.7582804929257,4793.940694654448,5650.483506849738,5829.363957326577,6274.987486537559,0.0012074160805866,707.7975010715897,8796.076062013202,8923.126991610541,9651.968459963336,8562.642708992626,10256.93806829722,9095.486574860912,15112.15036637304,14774.591399641737,10548.528049789666,12706.735606569153,13118.15871392448,13880.516180071854,10634.124544705915,10971.151008548262,12436.781443458243,12486.34769916468,10256.93806829722,12664.507642579842,11393.077906230155,8594.46760506235,7489.692762998139,8717.996326526847,12486.34769916468,9677.230569877433,5532.775084702151,6406.867097045377,6200.710154170181,4194.500818918766,6406.867097045377,14389.875104543877,14871.625466780746,16154.1427667355,9716.9084559622,12098.131091869052
ACSL1,1987.2787703605445,3119.826811765117,1453.8044277426982,4347.901465938526,1580.516666868733,1843.2102648952916,4485.487600570807,4759.776194407397,6695.219683018502,1245.514558224541,2160.408330547882,1673.2126283758566,1528.4414700949872,1991.7629075807288,1668.5742442434905,3247.400515569651,2808.574208926192,1687.506471000593,705.9860909194147,2816.400051247104,2015.832594130959,4228.091837716384,3319.835596139591,3696.4361330458414,6665.51801601521,6629.742508139105,6586.25280695304,5083.19019391743,5437.649304442845,6144.251694852629,4522.80742470271,8064.080073145144,5785.072522778078,7806.196799870604,5369.755160799881,6435.095897127576,6454.10771616796,1306.372702049376,1094.5278124841668,880.7275248736725,1008.7259717876716,5154.78596525283,3861.4802916604704,1889.6758581471784,2282.4973116029905,2207.720126406557,1647.7277027548355,3679.27851545282,6484.687122026081,3537.267116566853,4393.328088111355,2830.93364004934,2874.02065381573
ACSL5,3279.2704291386062,2852.390584486344,3079.4847488730056,3270.243846216134,3884.554451066968,9547.656661816676,5857.78535321836,6144.251694852629,5580.190991921449,8138.863739062558,5625.100746817009,4786.38480287428,3613.3911719537855,5083.19019391743,5655.858345311764,5649.181254636906,6351.981360893511,3458.84709935432,2543.0822496724213,3210.5855638938697,3434.7429389492763,3247.400515569651,2409.081969320638,3054.165209844864,7950.887372839595,5023.728003614988,5121.309860984604,6531.672938068754,5527.590053800797,7435.558981903178,5580.190991921449,7330.61712132505,6720.294046953884,7118.14079569466,5742.176121167345,4610.635038066484,5581.977756701064,3965.540926837223,3681.9723534728873,3313.00492630018,2804.472268113215,3195.503085663856,3458.672646125368,3739.247811642855,3950.2539636609104,3123.105824175057,3297.7474841084145,3203.705326598229,4473.459877238573,4598.109387249109,4534.237198940345,4172.4542178388965,3937.5774708672648
ACSM1,2158.8314728371342,3562.0120746386738,2802.5677642849982,3001.163634204104,1592.5134238505618,1829.3363948362064,2837.104654090795,2079.1993189361838,3057.731679569519,1347.1747335825949,1928.4685874885065,1799.7108568789,1940.92846369266,2227.356338963524,1735.7194560070918,2010.5227923710088,1943.914036228244,1891.055472586092,1607.3876767138197,1227.935767321815,1300.9442310447614,1416.0804754509918,1673.088976011933,1693.709488910352,5038.570218084937,4654.100262381445,4935.593412925151,4473.459877238573,4213.95559425868,4793.940694654448,4351.268898849556,5066.170670627336,5069.621017762305,5742.176121167345,4254.816992856053,4444.729467307187,4790.833050455556,1218.683691040641,1102.993833971857,798.5550471910551,1038.3606143755928,3549.761580335989,2587.0576572220825,2256.320900419867,2386.123046748084,2612.557434628672,2180.7218598624386,2386.123046748084,2704.209196629576,1766.7532649616091,1624.27110489307,1841.177987403781,1989.3619468104453
