symbol,LIB222,LIB272,LIB341,LIB259,LIB315
PCBD2,76.4443549362424,13.5423631266746,117.363838361142,29.2764487098854,76.4642030843727
PCBP1,7785.40493646962,2657.39343873917,10431.7427446811,7695.237383035391,7611.301051991609
PCBP1-AS1,753.013120607493,136.143821566034,700.9823772483742,586.393886004634,713.178301198889
PCBP2,10722.1208483642,2879.84405486779,14927.264539762,7983.05048831044,9243.338869686591
PCBP3,44.2568562217466,49.4742563355305,154.36358236712098,28.8949123090098,32.917942177885
PCBP4,234.85193058822003,19.03943221837089,333.733735992145,86.23393909293699,139.654586453089
PCCA,40.7883621946018,19.427974578157,103.338481557934,40.5436671375688,74.22661225746091
PCCB,129.511284980045,54.0033377197433,253.043681572968,84.2894974655043,189.993980463998
PCDH1,13.9882045872803,1.99890825792426,4.26023317399031,4.04895277586836,5.91300600063204
PCDH12,13.023224185060696,2.85052678310237,14.8603038936644,11.3933012073373,7.75458991336738
PCDHGA6,2.21610240757603,0.80994177604453,4.2841617816382405,1.3724400733004498,1.32895810029419
PCDHGB6,2.21974564835933,0.219646302843031,2.99282355093075,0.55884930647707,2.18992298938024
PCDHGC3,9.0329923174587,2.84397017704735,16.146567377525194,6.50748364114493,20.4051622526913
PCED1A,789.3793060992,188.200576974241,1660.55634424656,413.106568241343,591.36618676563
PCED1B,1118.3158322927,58.30323399681999,1803.42881772748,170.455478228103,447.476348602749
PCED1B-AS1,4160.13213830597,345.66861761573995,10567.093300677,1134.7281220049,3105.51776183072
PCF11,644.029896623432,128.520096150051,1304.02180427988,349.225510437637,808.689891975379
PCGF1,365.9092192745969,180.46576996148104,649.009811120634,222.932506954264,366.946263650952
PCGF2,1.44206094277226,0.463858728050258,1.92803411819326,2.08637377465287,1.2314282785093
PCGF3,422.80377856579,251.454281196361,1068.19448704883,370.562547271447,643.8665410291919
PCGF5,2750.2496413468707,433.38798007702,6521.23628735124,435.714797085282,1563.40653556195
PCGF6,37.8955370116304,5.08734466428419,102.224826682051,18.0562480523338,62.1743837291772
PCID2,389.676489331056,62.205630744226,784.5358995852838,148.162009338706,426.934107033612
PCIF1,744.5837102466742,509.294802442018,1080.77609517795,680.941151737919,688.3706201179781
PCK2,327.07269572934,100.924567984332,429.948650888736,186.303179034765,279.574426960289
PCLAF,46.829959425674296,17.3737264500942,18.097824343871103,8.642435878911671,22.8051747906858
PCM1,598.042022624262,168.928247763693,1396.64359676345,422.7615756661209,798.8142752796962
PCMT1,749.1618654956302,479.861700828012,1381.59919046431,863.021338000769,1137.9835008065402
PCMTD1,405.56068794254304,77.05802491103479,858.969664939975,227.13760479014093,641.824412106082
PCMTD1-DT,31.8149681443002,3.85590829544165,29.537177533758,20.2954636727226,35.7111823775416
PCMTD2,317.170496081769,37.4794320157476,772.6528253184648,126.27151743824,460.802114742045
PCNA,487.015510967154,120.645876657254,1076.5190547254904,246.835535183732,675.2222324565852
PCNP,883.0610475948358,110.529953554246,1550.06707387532,420.158354924277,1051.6586926469804
PCNT,157.28350706888702,13.1754152661859,273.858175859563,82.00770371618529,145.93375897248
PCNX1,388.20554006490096,382.357079712318,694.714661601584,597.205821499946,503.704174171006
PCNX2,112.698243970876,37.3263246891919,245.129496238988,67.838490330913,60.3361824593047
PCNX3,684.827072516696,281.887318109612,790.1344880154021,520.824779640978,453.197659318118
PCNX4,166.303564041544,39.8061917267648,362.753692638682,90.795420413667,375.887685810708
PCOLCE,203.240965527579,86.547919037841,372.026431393391,96.6367608939028,70.1219671312847
PCP2,174.36110623958302,259.076949095238,268.668625468325,85.4160905132207,164.528165073878
PCSK1N,235.97250313217495,41.8551205437861,558.889599971716,50.0733342482861,129.011585226006
PCSK4,36.6758241578754,4.11668143852332,45.8314166837621,1.3463477110165802,20.0058824029882
PCSK5,30.8827585089244,4.3664775540483705,53.715691258182105,25.572060578811,32.1190899255824
PCSK6,160.054173284382,2.50019251634339,53.0898506238849,47.091622729735896,68.5890630931973
PCSK7,1359.09697165389,218.075012201946,1895.2778035637696,473.04193659610496,906.283874267324
PCTP,299.145654307414,193.312181080928,515.2964155080999,287.253043779852,386.088145928556
PCYOX1,53.60088562102821,6.05184256531914,107.754284289231,30.1189350254169,91.5323045663537
PCYOX1L,262.823978913964,40.1949350148009,478.663565616858,93.8022242388039,193.892192952763
