,B,CD4T,CD8T,Mon,NK,Neu
CD80,4.0634818277654485,4.534098476626093,3.7793942598593198,7.094738331258288,4.170552038531661,5.044135412463736
CD83,11.00748074665459,9.107638655106875,8.855502247220219,8.614757849101839,9.258772809927772,7.642336116659214
CD8B,9.089854415009675,8.769135867931627,11.039136920371618,8.898482382447138,8.834325821047708,8.357875787159083
CDH23,2.6800236005610785,3.0153365696691607,3.552143255057617,2.552245830084284,5.0848745583831505,2.507423149251766
CDHR1,4.1286067674499085,4.346082916732744,4.113286748424216,3.408146955556246,7.556716108751385,3.5659778071045745
CDKL5,1.5285318949033184,1.6357354345943198,1.6667171775310758,3.5824405154743735,1.5175618318632356,1.5432762915824974
CDKN2B,0.7583812548562847,0.3878887833378295,0.40326858241237873,1.530215961813897,0.8175262273788874,3.69943984051819
CDO1,4.9676783139253065,4.252701373146477,4.689248691557013,7.958447254850022,5.190272597344013,6.02681403704983
CDS1,4.163168864108556,3.1331379032253865,3.5658685831168384,6.803440574205977,3.982606655259481,5.089153958069611
CEACAM4,6.054933201100152,5.315526821446466,5.849696985622937,8.998967975001268,6.253202545373766,11.161172729606857
CEMIP,2.0853658834463813,1.3003995423406067,1.3841032725520725,0.7656123788302068,3.902670885074922,0.7491867730649441
CFAP126,2.859741081105569,1.9307933054924031,3.5151369193886275,1.7647580259733588,6.290932131694515,2.992112626070207
CHIC1,1.2855393781027298,0.0,2.9470270200690307,0.0,0.0,0.0
CIDEB,0.0,0.0,0.0,0.0,0.5100520362257733,3.1820356599177435
CLDN1,1.1976282632006008,0.9596904818107284,0.6489903894231298,2.1889591828635586,1.6279200572614287,5.4706043383132785
CLDN20,1.8548824636084347,0.0,0.0,0.0,0.0,0.0
CLDN23,0.40322682332156035,0.0,0.0,0.0,2.4137252330433796,0.8718226134206081
CLDND2,0.0,0.0,0.0,0.0,1.7072802918413044,0.0
CLEC12B,0.0,0.639370653935651,0.30666353929367296,1.6778183260383264,0.6441741923100153,5.176676921247418
CLEC1A,2.717781202299931,2.735284229170347,2.419308283640219,5.493272610713081,3.0967335692099978,7.9864073403431295
CLEC4A1,8.392842357394883,7.691948809223703,8.046791817272931,11.583518154477499,8.340674148010072,9.812872322909435
CLEC4A3,9.317064912755988,8.60500543311037,9.054554626245112,12.678586933885565,9.417617381820024,10.397329744874387
CLEC4B2,4.429857344052053,4.529980818894135,4.4136477277311155,6.737858477559156,4.948938445917968,9.12469057322841
CLEC4D,7.470434974040103,6.804602539184007,6.2256199054991885,10.643342022087827,7.440993533140489,13.021916311334902
CLEC4E,6.864615903443202,6.058814611113609,6.056957815703155,10.078868269495636,6.812506179427746,12.5614081575492
CLEC5A,2.880719589495029,2.663680765084865,2.673222622980254,4.918807951929178,2.9025896733042345,7.827093115231609
CLIC5,4.213845166503383,3.97459050017242,4.455405503096002,3.6045985864223775,7.169614295739949,3.2659899855824306
CLNK,4.063877121433105,3.9121648844392194,3.806058807138068,2.3017121955086606,7.208117288559603,3.231549193368939
COL16A1,2.4288283465179816,2.795284156055489,2.2518886794918505,1.8571209033906184,5.918220511730852,1.9547171512303438
COL18A1,3.6457808130151745,3.0692811584049133,2.629966234165419,2.242147149978904,6.484043406299396,1.8445421084085125
COL26A1,1.6197908573952908,1.0616987708716155,1.5458934019197719,1.0904437478775786,4.296277587051257,1.5466656388867155
CORO6,1.9374420705404392,1.8416467037437343,1.7656579730543371,6.266746926190803,2.0011216006953374,4.09901640356934
CPNE4,2.4022620630720453,1.9154945146491844,0.9549700497999689,0.7007106455039889,4.201552659713668,1.1190759746264767
CPNE8,2.1599099424610806,2.1610658483883896,1.5623543370780761,3.323680936402993,2.3818071355867154,6.124644198909639
CRYBB3,0.0,0.8187659692608571,0.0,0.0,3.543788292949406,0.0
CRYBG3,3.8155919695205123,3.2529687346919314,3.712714904142425,7.687993280578134,3.8327964238645214,5.91490605996211
CSF1,0.0,0.0,1.289973530428257,3.3054877821409216,1.6955762753038937,5.4450542162972715
CSF1R,8.501016081786698,7.8238703720492175,8.058130065605589,12.099274259837161,8.291549169785378,9.398606222090411
CSF2,0.0,0.0,0.0,0.0,4.827818751182595,0.0
CSF3R,7.675820164605333,7.134368539412902,6.886598438344962,10.811341719130667,7.7038257569264115,13.418025917731999
CSPRS,1.3975189350544537,0.0,1.4488465306680802,0.0,0.0,3.8011533036193654
CTLA2A,8.391135454473435,8.816987788654734,8.863925568538626,8.04814084529795,10.593700984427342,8.037107231243198
CX3CR1,6.422734225550824,6.402829176813771,6.4360827068408355,10.886801758126888,7.075584122499735,8.115385608328983
CXCL16,6.429517146613588,5.707703158561788,5.660958995148764,9.089839804334677,6.5380094404263005,6.256212560767837
CXCL2,7.529658325587295,0.6375701268742835,0.643118178057756,9.562063526971237,4.170312275835972,11.85919735019663
CXCR2,5.67234893104972,5.214447421065383,4.666269232521999,8.460070852956072,5.943132043267884,11.685460525432756
CYBB,10.819661336370327,9.831610401627318,9.72220205832942,12.542433036636353,10.167403257709296,10.785912397478825
DAO,0.8971140385780157,0.9053396811244844,1.5518124839819385,3.8909346384076495,0.6009730457533858,1.8349232219473368
DAPK1,3.94689437351618,4.219814022911743,4.059649441831303,7.994031736289385,4.383389694050248,6.342218426863045
DCLK1,0.0,0.0,0.0,0.0,1.971518405811099,0.0
DDIT4L2,1.6605939901040212,0.6645601937050636,0.7026239300274102,0.0,3.2589983449321562,0.0
DEFB14,7.489852906378679,0.0,5.5179565532492845,10.897479980253884,6.4055886124304635,8.320430317345778
DEGS2,5.53968078343056,4.253564183349468,4.399955773533349,5.086596274177513,4.876615982943807,8.65321913253641
DGAT2,4.977482151656847,4.855095296395406,4.80482446112954,7.31114051765314,5.354263120346198,10.47246133308295
